Symbol,Symbol,Name,Last,Change,%Chg,Open,High,Low,Time,,,"right(b2,len(b2)-1)"
USDCNY,^USDCNY,U.S. Dollar/Chinese Yuan,7.141,-0.0101,-0.14%,7.1511,7.1511,7.1205,14-07-2023,,,
USDCOP,^USDCOP,U.S. Dollar/Colombian Peso,4090,-10.8,-0.26%,4100.9,4101.9,4085.1,14-07-2023,,,
USDCRC,^USDCRC,U.S. Dollar/Costa Rica Colones,543.68,0,0.00%,543.68,543.68,543.68,14-07-2023,,,
USDCUP,^USDCUP,U.S. Dollar/Cuba Pesos,23.98603,0,0.00%,23.98603,23.98603,23.98603,14-07-2023,,,
USDCUST,^USDCUST,USD Coin / Tether,0.999604,8.80E-05,0.01%,0.9998,0.999898,0.99931,08:00 CT,,,
USDCVE,^USDCVE,U.S. Dollar/Cape Verde Escudos,98.212,-1.854,-1.85%,98.212,98.212,98.212,14-07-2023,,,
USDCZK,^USDCZK,U.S. Dollar/Czech Koruna,21.1666,-0.0098,-0.05%,21.1742,21.2234,21.1314,14-07-2023,,,
USDDJF,^USDDJF,U.S. Dollar/Djibouti Francs,177.94,-0.07,-0.04%,177.94,177.94,177.94,14-07-2023,,,
USDDKK,^USDDKK,U.S. Dollar/Danish Krone,6.6346,-0.0034,-0.05%,6.6379,6.651,6.6244,14-07-2023,,,
USDDOP,^USDDOP,U.S. Dollar/Dominican Peso,55.927,0.027,0.05%,55.927,55.927,55.927,14-07-2023,,,
USDDZD,^USDDZD,U.S. Dollar/Algerian Dinar,134.42,-0.31,-0.23%,134.729,134.729,134.41,14-07-2023,,,
USDEGP,^USDEGP,U.S. Dollar/Egyptian Pound,30.8962,-0.0042,-0.01%,30.8995,30.9063,30.8922,14-07-2023,,,
USDETB,^USDETB,U.S. Dollar/Ethiopia Birr,55.011,0.356,0.65%,55.011,55.011,55.011,14-07-2023,,,
USDEUR,^USDEUR,U.S. Dollar/Euro,0.89057,-0.00022,-0.02%,0.89078,0.89247,0.88932,14-07-2023,,,
USDFJD,^USDFJD,U.S. Dollar/Fiji Dollar,2.1793,-0.0042,-0.19%,2.1833,2.1833,2.1793,14-07-2023,,,
USDGBP,^USDGBP,U.S. Dollar/British Pound,0.76388,0.00256,0.34%,0.7613,0.76394,0.76087,14-07-2023,,,
USDGEL,^USDGEL,U.S. Dollar/Georgian Lari,2.575,-0.024,-0.92%,2.575,2.575,2.575,13-07-2023,,,
USDGHS,^USDGHS,U.S. Dollar/Ghanaian Cedis,11.3703,-0.003,-0.03%,11.368,11.3703,11.368,14-07-2023,,,
USDGMD,^USDGMD,U.S. Dollar/Gambia Dalasi,59.63,0.05,0.08%,59.63,59.63,59.63,13-07-2023,,,
USDGNF,^USDGNF,U.S. Dollar/Guinean Franc,8592.9,-8.6,-0.10%,8592.9,8592.9,8592.9,14-07-2023,,,
USDGTQ,^USDGTQ,U.S. Dollar/Guatemala Quetzal,7.8426,0,0.00%,7.8426,7.8426,7.8426,14-07-2023,,,
USDGYD,^USDGYD,U.S. Dollar/Guyanese Dollar,210.0266,0,0.00%,210.0266,210.0266,210.0266,14-07-2023,,,
USDHKD,^USDHKD,U.S. Dollar/Hong Kong Dollar,7.8137,-0.0081,-0.10%,7.8219,7.8226,7.8136,14-07-2023,,,
USDHNL,^USDHNL,U.S. Dollar/Honduras Lempira,24.599,-0.018,-0.07%,24.599,24.599,24.599,14-07-2023,,,
USDHTG,^USDHTG,U.S. Dollar/Haiti Gourdes,138.912,0,0.00%,138.912,138.912,138.912,14-07-2023,,,
USDHUF,^USDHUF,U.S. Dollar/Hungarian Forint,333.317,0.35,0.11%,333.044,334.758,332.423,14-07-2023,,,
USDHUY,^USDHUY,Mnb Usd/Huf,333.93,-2.81,-0.83%,333.93,333.93,333.93,17-07-2023,,,
USDIDR,^USDIDR,U.S. Dollar/Indonesian Rupiah,15002,49,0.33%,14954,15002,14905,14-07-2023,,,
USDILS,^USDILS,U.S. Dollar/Israeli Shekel,3.606553,-0.007807,-0.22%,3.614075,3.617211,3.602438,14-07-2023,,,
USDINR,^USDINR,U.S. Dollar/Indian Rupee,82.1103,0.0905,0.11%,82.0192,82.195,81.9375,14-07-2023,,,
USDIQD,^USDIQD,U.S. Dollar/Iraq Dinars,1309.3,-0.5,-0.04%,1309.3,1309.3,1309.3,14-07-2023,,,
USDIRR,^USDIRR,U.S. Dollar/Iranian Rial,42275,0,0.00%,42275,42275,42275,13-07-2023,,,
USDISK,^USDISK,U.S. Dollar/Icelandic Krona,130.829,-0.028,-0.02%,130.854,131.093,130.661,14-07-2023,,,
USDJMD,^USDJMD,U.S. Dollar/Jamaican Dollar,154.55392,0,0.00%,154.55392,154.55392,154.55392,14-07-2023,,,
USDJOD,^USDJOD,U.S. Dollar/Jordanian Dinar,0.7094,0.0006,0.08%,0.7093,0.7094,0.7093,14-07-2023,,,
USDJPY,^USDJPY,U.S. Dollar/Japanese Yen,138.8,0.733,0.53%,138.049,139.156,137.248,14-07-2023,,,
USDKES,^USDKES,U.S. Dollar/Kenyan Shilling,141.51,0.223,0.16%,141.4,141.51,141.349,14-07-2023,,,
USDKGS,^USDKGS,U.S. Dollar/Kyrgyzstani Som,0,N/A,N/A,0,0,0,14-07-2023,,,
USDKHR,^USDKHR,U.S. Dollar/Cambodia Riels,4124.8,-0.3,-0.01%,4124.8,4124.8,4124.8,14-07-2023,,,
USDKMF,^USDKMF,U.S. Dollar/Comoros Franc,442.5,-2.5,-0.56%,442.5,442.5,442.5,13-07-2023,,,
USDKRW,^USDKRW,U.S. Dollar/Korean Won,1269.3,2.15,0.17%,1267.15,1270.66,1260.04,14-07-2023,,,
USDKWD,^USDKWD,U.S. Dollar/Kuwaiti Dinar,0.30622,-8.00E-05,-0.03%,0.30618,0.30622,0.30615,14-07-2023,,,
USDKYD,^USDKYD,U.S. Dollar/Caymanian Dollar,0.832892,0,0.00%,0.832892,0.832892,0.832892,14-07-2023,,,
USDKZT,^USDKZT,U.S. Dollar/Kazakhstan Tenge,444.97,0,0.00%,444.97,444.97,444.97,14-07-2023,,,
USDLAK,^USDLAK,U.S. Dollar/Laos Kips,19131.3,-14.85,-0.08%,19131.3,19131.3,19131.3,14-07-2023,,,
USDLBP,^USDLBP,U.S. Dollar/Lebanese Pound,15001.1,0,0.00%,15001.1,15001.1,15001.1,14-07-2023,,,
USDLKR,^USDLKR,U.S. Dollar/Sri Lankan Rupee,320.34,2.39,0.75%,320.34,320.34,320.34,14-07-2023,,,
USDLRD,^USDLRD,U.S. Dollar/Liberia Dollar,183.68,0.33,0.18%,183.68,183.68,183.68,13-07-2023,,,
USDLSL,^USDLSL,U.S. Dollar/Lesotho Maloti,18.16,-0.38,-2.05%,18.16,18.16,18.16,13-07-2023,,,
USDLYD,^USDLYD,U.S. Dollar/Libya Dinars,4.7495,-0.0205,-0.43%,4.7495,4.7495,4.7495,14-07-2023,,,
USDMAD,^USDMAD,U.S. Dollar/Moroccan Dirham,9.6256,-0.0807,-0.83%,9.6256,9.6256,9.6256,14-07-2023,,,
USDMDL,^USDMDL,U.S. Dollar/Moldova Lei,18.009,0,0.00%,18.009,18.009,18.009,14-07-2023,,,
USDMGA,^USDMGA,U.S. Dollar/Madagascar Ariary,4514.1,-15.7,-0.35%,4514.1,4514.1,4514.1,14-07-2023,,,
USDMKD,^USDMKD,U.S. Dollar/Macedonian Denar,54.817,-0.33,-0.60%,54.891,54.922,54.817,14-07-2023,,,
USDMMK,^USDMMK,U.S. Dollar/Myanmar Burma Kyats,2098.752,0,0.00%,2098.752,2098.752,2098.752,14-07-2023,,,
USDMOP,^USDMOP,U.S. Dollar/Macau Patacas,8.045,0,0.00%,8.045,8.045,8.045,14-07-2023,,,
USDMUR,^USDMUR,U.S. Dollar/Mauritian Rupee,45.3,-0.1,-0.22%,45.4,45.4,45.276,14-07-2023,,,
USDMVR,^USDMVR,U.S. Dollar/Maldives Rufiyaa,15.41,0.03,0.20%,15.39,15.41,15.39,13-07-2023,,,
USDMWK,^USDMWK,U.S. Dollar/Malawi Kwachas,1053.52,0.25,0.02%,1053.52,1053.52,1053.52,14-07-2023,,,
USDMXN,^USDMXN,U.S. Dollar/Mexican Peso,16.7533,-0.0855,-0.51%,16.8403,16.9178,16.7171,14-07-2023,,,
USDMYR,^USDMYR,U.S. Dollar/Malaysian Ringgit,4.5259,-0.0738,-1.60%,4.5826,4.5826,4.5204,14-07-2023,,,
USDNAD,^USDNAD,U.S. Dollar/Namibia Dollars,18.16,-0.38,-2.05%,18.16,18.16,18.16,13-07-2023,,,
USDNGN,^USDNGN,U.S. Dollar/Nigerian Naira,777.04,-17.43,-2.19%,777.04,777.04,777.04,14-07-2023,,,
USDNIO,^USDNIO,U.S. Dollar/Nicaraguan Cordoba,36.5543,-0.0121,-0.03%,36.5543,36.5543,36.5543,14-07-2023,,,
USDNOK,^USDNOK,U.S. Dollar/Norwegian Krone,10.0509,0.10424,1.05%,9.94822,10.05906,9.66156,14-07-2023,,,
USDNPR,^USDNPR,U.S. Dollar/Nepal Nepal Rupees,131.316,0,0.00%,131.316,131.316,131.316,14-07-2023,,,
USDNZD,^USDNZD,U.S. Dollar/New Zealand Dollar,1.5697,0.0054,0.35%,1.5642,1.5711,1.5596,14-07-2023,,,
USDOMR,^USDOMR,U.S. Dollar/Omani Rial,0.38501,2.00E-05,0.01%,0.385,0.38501,0.38498,14-07-2023,,,
USDPAB,^USDPAB,U.S. Dollar/Panama Balboa,0.99936,0,0.00%,0.99936,0.99936,0.99936,14-07-2023,,,
USDPEN,^USDPEN,U.S. Dollar/Peruvian Sol,3.5737,-0.0033,-0.09%,3.5737,3.5737,3.5737,14-07-2023,,,
USDPGK,^USDPGK,U.S. Dollar/Papua New Guinea Kina,3.618,0.0479,1.34%,3.618,3.618,3.618,14-07-2023,,,
USDPHP,^USDPHP,U.S. Dollar/Philippine Peso,54.346,-0.0488,-0.09%,54.355,54.521,54.2838,14-07-2023,,,
USDPKR,^USDPKR,U.S. Dollar/Pakistan Rupee,273.8378,-2.2564,-0.82%,273.8378,273.8378,273.8378,14-07-2023,,,
USDPLN,^USDPLN,U.S. Dollar/Polish Zloty,3.9657,0.0064,0.16%,3.9585,3.9861,3.9558,14-07-2023,,,
USDPYG,^USDPYG,U.S. Dollar/Paraguay Guarani,7250.3,0,0.00%,7250.3,7250.3,7250.3,14-07-2023,,,
USDQAR,^USDQAR,U.S. Dollar/Qatari Riyal,3.6408,-0.0004,-0.01%,3.6412,3.6412,3.6408,13-07-2023,,,
USDRON,^USDRON,U.S. Dollar/Romanian Leu,4.3955,-0.0022,-0.05%,4.3977,4.4089,4.3913,14-07-2023,,,
USDRSD,^USDRSD,U.S. Dollar/Serbian Dinar,104.405,-0.035,-0.03%,104.435,104.612,104.279,14-07-2023,,,
USDRUB,^USDRUB,U.S. Dollar/Russian Ruble,90.366,0.231,0.26%,90.098,90.456,89.678,14-07-2023,,,
USDRWF,^USDRWF,U.S. Dollar/Rwanda Rwanda Francs,1166.73,-2.19,-0.19%,1166.73,1166.73,1166.73,14-07-2023,,,
USDSAR,^USDSAR,U.S. Dollar/Saudi Riyal,3.7514,-0.0003,-0.01%,3.7518,3.7521,3.7513,14-07-2023,,,
USDSCR,^USDSCR,U.S. Dollar/Seychelles Rupee,13.3534,-0.0961,-0.71%,13.2782,13.3542,13.073,14-07-2023,,,
USDSDG,^USDSDG,U.S. Dollar/Sudan Pounds,601,0.9642,0.16%,600.0332,601,600.0332,13-07-2023,,,
USDSEK,^USDSEK,U.S. Dollar/Swedish Krona,10.24164,0.04098,0.40%,10.20345,10.27711,10.15972,14-07-2023,,,
USDSGD,^USDSGD,U.S. Dollar/Singapore Dollar,1.3215,-0.0005,-0.04%,1.3222,1.3233,1.3172,14-07-2023,,,
USDSOS,^USDSOS,U.S. Dollar/Somali Shillings,569,0,0.00%,569,569,569,13-07-2023,,,
USDSVC,^USDSVC,U.S. Dollar/El Salvador Colones,8.7452,0,0.00%,8.7452,8.7452,8.7452,14-07-2023,,,
USDSZL,^USDSZL,U.S. Dollar/Swaziland Emalangeni,18.0251,0,0.00%,18.0251,18.0251,18.0251,14-07-2023,,,
USDTHB,^USDTHB,U.S. Dollar/Thai Baht,34.6466,0.1088,0.32%,34.5466,34.7217,34.5285,14-07-2023,,,
USDTJS,^USDTJS,U.S. Dollar/Tajikistani Somoni,10.93848,0,0.00%,10.93848,10.93848,10.93848,14-07-2023,,,
USDTMT,^USDTMT,U.S. Dollar/Turkmenistan Manat,3.505,0,0.00%,3.505,3.505,3.505,13-07-2023,,,
USDTND,^USDTND,U.S. Dollar/Tunisian Dinars,3.0355,-0.0419,-1.36%,3.0355,3.0355,3.0355,13-07-2023,,,
USDTRY,^USDTRY,U.S. Dollar/Turkish New Lira,26.197916,0.16448,0.63%,26.038832,26.20565,26.031031,14-07-2023,,,
USDTTD,^USDTTD,U.S. Dollar/Trinidadian Dollar,6.78534,0,0.00%,6.78534,6.78534,6.78534,14-07-2023,,,
USDTUSD,^USDTUSD,Tether - USD,1.000267,-0.000159,-0.02%,1.000114,1.000566,0.999907,07:59 CT,,,
USDTWD,^USDTWD,U.S. Dollar/Taiwan Dollar,30.9409,-0.0034,-0.01%,30.9435,31.3982,30.7933,14-07-2023,,,
USDTZS,^USDTZS,U.S. Dollar/Tanzania Shillings,2444.7,-3.9,-0.16%,2445,2445.4,2444.5,14-07-2023,,,
USDUAH,^USDUAH,U.S. Dollar/Ukraine Hryvnia,36.723,0,0.00%,36.723,36.723,36.723,14-07-2023,,,
USDUGX,^USDUGX,U.S. Dollar/Ugandan Shilling,3666.18,0,0.00%,3666.18,3666.18,3666.18,14-07-2023,,,
USDUYU,^USDUYU,U.S. Dollar/Uruguay Pesos,38.115,0,0.00%,38.115,38.115,38.115,14-07-2023,,,
USDUZS,^USDUZS,U.S. Dollar/Uzbekistan Sums,11571.4,-10.1,-0.09%,11571.4,11571.4,11571.4,14-07-2023,,,
USDVES,^USDVES,U.S. Dollar/Venezuelan Bolivars,0,N/A,N/A,0,0,0,14-07-2023,,,
USDVND,^USDVND,U.S. Dollar/Vietnam Dong,0,N/A,N/A,0,0,0,07/17/23,,,
USDXAF,^USDXAF,U.S. Dollar/Cfa Beac Francs,584.26,N/A,N/A,584.26,584.26,584.26,14-07-2023,,,
USDXOF,^USDXOF,U.S. Dollar/Cfa Bceao Francs,584.28,0,0.00%,584.28,584.28,584.28,14-07-2023,,,
USDXPF,^USDXPF,U.S. Dollar/Comptoirs Francais Du Pacif,107.55,-1.275,-1.17%,107.55,107.55,107.55,13-07-2023,,,
USDYER,^USDYER,U.S. Dollar/Yemeni Rial,250.33,0,0.00%,250.33,250.33,250.32,13-07-2023,,,
USDZAR,^USDZAR,U.S. Dollar/South African Rand,18.06762,0.14149,0.79%,17.92514,18.17831,17.90827,14-07-2023,,,
USDZMW,^USDZMW,U.S. Dollar/Zambian Kwacha,18.58887,0,0.00%,18.58887,18.58887,18.58887,14-07-2023,,,
UYUUSD,^UYUUSD,Uruguayan Peso/U.S. Dollar,0.02624,2.00E-05,0.08%,0.02621,0.02624,0.02621,14-07-2023,,,
UZSUSD,^UZSUSD,Uzbekistani Som/U.S. Dollar,8.60E-05,0,0.00%,8.60E-05,8.60E-05,8.60E-05,14-07-2023,,,
VESUSD,^VESUSD,Venezuelan Bolivar/U.S. Dollar,0,N/A,N/A,0,0,0,14-07-2023,,,
XAFUSD,^XAFUSD,Central African Cfa Franc/U.S. Dollar,0.001712,9.00E-06,0.53%,0.001712,0.001712,0.001712,14-07-2023,,,
XAGUSD,^XAGUSD,Silver,24.925,0.056,0.23%,24.877,25.013,24.699,14-07-2023,,,
XAUTUSD,^XAUTUSD,Tether Gold - USD,1956.6,0.2,0.01%,1956.4,1956.7,1953.9,07:57 CT,,,
XAUUSD,^XAUUSD,Gold,1955.4,-5.01,-0.26%,1960.48,1963.19,1952.98,14-07-2023,,,
XLMUSD,^XLMUSD,Stellar - USD,0.134055,0.002506,1.90%,0.127803,0.137716,0.124949,08:00 CT,,,
XMRUSD,^XMRUSD,Monero - USD,164.3834,4.9909,3.13%,164.8947,166.1967,158.8284,08:00 CT,,,
XOFUSD,^XOFUSD,Cfa Franc/U.S. Dollar,0.001712,9.00E-06,0.53%,0.001712,0.001712,0.001712,14-07-2023,,,
XPFUSD,^XPFUSD,Cfp Franc/U.S. Dollar,0.009298,0.000109,1.19%,0.009298,0.009298,0.009298,13-07-2023,,,
XRPUSD,^XRPUSD,XRP - USD,0.752046,0.037846,5.30%,0.7168,0.763576,0.694283,08:00 CT,,,
YERUSD,^YERUSD,Yemeni Rials/U.S. Dollar,0.00399,0,0.00%,0.00399,0.00399,0.00399,13-07-2023,,,
YFIUSD,^YFIUSD,Yearn.Finance - USD,7025.52,149.25,2.17%,7105.1,7115.81,6858.37,08:00 CT,,,
ZARUSD,^ZARUSD,South African Rand/U.S. Dollar,0.0553,-0.00049,-0.88%,0.05579,0.05584,0.05501,14-07-2023,,,
ZECUSD,^ZECUSD,Zcash - USD,31.2493,0.0389,0.12%,31.271,32.292,30.7016,08:00 CT,,,
ZMWUSD,^ZMWUSD,Zambian Kwacha/U.S. Dollar,0.0538,0,0.00%,0.0538,0.0538,0.0538,14-07-2023,,,
ZRXUSD,^ZRXUSD,0X - USD,0.22,0.0057,2.66%,0.2236,0.2502,0.2143,08:00 CT,,,
,Downloaded from Barchart.com as of 07-16-2023 08:00am CDT,,,,,,,,,,,
